transaction,announced,closed,type,role,target,buyer,seller,rounds,round_type,valuation_pre,valuation_post,ammount,raised,corporation
IQTR325365188,2016-02-11,2016-11-01,Merger/Acquisition,Seller,"Exxon Mobil Corporation, Aviation Fueling Operations at 83 International Airport Locations",World Fuel Services Corporation (NYSE:INT),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,260000,0,Exxon
IQTR310402744,2015-08-31,2015-08-17,Merger/Acquisition,Seller,Pegasus Place LLC.,J. Small Investments,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR304749850,2015-06-23,2015-06-23,Merger/Acquisition,Seller,Approximately 177 Acres in Webster,Medistar Corporation,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR304386904,2015-06-18,2015-11-01,Merger/Acquisition,Seller,"Chalmette Refining, LLC",PBF Holding Company LLC,"Exxon Mobil Corporation (NYSE:XOM); Mobil Pipe Line Co.; Petróleos de Venezuela, S.A.",0,,0,0,555080,0,Exxon
IQTR297150574,2015-05-06,2015-03-31,Merger/Acquisition,Seller,King Ranch Project,"Energy Transfer Partners, L.P. (nka:Energy Transfer Operating, L.P.)",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,370000,0,Exxon
IQTR289205600,2015-03-23,2014-12-31,Merger/Acquisition,Buyer,Parva Negra Este Block in Argentina,Exxon Mobil Corporation (NYSE:XOM),,0,,0,0,0,0,Exxon
IQTR290303558,2015-03-18,2015-01-15,Merger/Acquisition,Target,Exxon Mobil Corporation (NYSE:XOM),,"Wellcome Trust, Investment Division",0,,0,0,0,0,Exxon
IQTR408972573,2014-12-31,2014-12-31,Merger/Acquisition,Seller,"Exxon Mobil Corporation, Card Processing For Asia Pacific region",WEX Inc. (NYSE:WEX),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR279854247,2014-12-12,2015-10-31,Merger/Acquisition,Seller,Topaz Bull Fuels Limited,Topaz Investments Limited,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,93590,0,Exxon
IQTR270245305,2014-08-11,2014-08-11,Merger/Acquisition,Seller,"Exxon Mobil Corporation, 2.9-Acre Parcel in Gilbert",Nationwide Realty Investors Ltd.,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR265432753,2014-06-04,2014-06-04,Merger/Acquisition,Seller,"Exxon Mobil Corporation, Eight Greenspoint Plaza Building","AllianceBernstein L.P.; Stream Realty Partners, L.P. Buyer Funds: AllianceBernstein U.S. Real Estate Partners, L.P.",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR264239224,2014-05-21,2014-08-15,Merger/Acquisition,Buyer,"26,000 Acres U.S. Oil And Natural Gas Portfolio In Permian Basin",Exxon Mobil Corporation (NYSE:XOM); ExxonMobil Oil Corporation; Mobil E&P U.S. Development Corporation; XTO Energy Inc.,"Berry Petroleum Company, LLC (nka:Berry Corporation (NasdaqGS:BRY)); Linn Energy Holdings, LLC (nka:Riviera Upstream, LLC)",0,,0,0,0,0,Exxon
IQTR252237379,2013-11-28,2013-12-02,Merger/Acquisition,Seller,West Qurna 1,PetroChina International Iraq FZE; PT Pertamina (Persero),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR250237584,2013-11-08,2014-12-01,Merger/Acquisition,Seller,"Exxon Mobil Corporation, Esso Card Program",WEX Europe Services Limited,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,80000,0,Exxon
IQTR244751160,2013-08-19,2013-08-19,Merger/Acquisition,Seller,Green Canyon 18 & 60,"Whistler Energy II, LLC","Exxon Mobil Corporation (NYSE:XOM); W&T Offshore, Inc. (NYSE:WTI)",0,,0,0,0,0,Exxon
IQTR225849236,2013-01-04,,Merger/Acquisition,Seller,"Exxon Mobil Corporation, 800 Bell Street","Shorenstein Company LP Buyer Funds: Shorenstein Realty Investors Ten, L.P.",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,50000,0,Exxon
IQTR225321761,2012-12-17,2013-08-01,Merger/Acquisition,Buyer,"Impact Africa Limited, Tugela South Exploration Right",Exxon Mobil Corporation (NYSE:XOM),Impact Africa Limited,0,,0,0,0,0,Exxon
IQTR222440023,2012-10-01,2012-10-17,Merger/Acquisition,Seller,"Exxon Mobil Corporation, Certain Shallow-Water Gulf of Mexico Interests",Energy XXI (Bermuda) Limited (nka:Energy XXI Ltd),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,33460,0,Exxon
IQTR214167525,2012-07-13,2012-10-31,Merger/Acquisition,Seller,Aasta Hansteen Field,OMV Aktiengesellschaft (WBAG:OMV),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR210268657,2012-06-21,,Buyback,Seller,Imperial Oil Limited (TSX:IMO),,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR202181135,2012-04-16,2012-04-16,Merger/Acquisition,Seller,"Exxon Mobil Corp., Harmattan Acreage in the Cardium Formation of the Western Canada Basin in Alberta",Public Joint Stock Company Rosneft Oil Company (LSE:ROSN),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,67550,0,Exxon
IQTR183328015,2012-03-28,2011-03-31,Merger/Acquisition,Buyer,"Various Interests in License L006, Licenses L009 and L011 in Faroe Islands",Exxon Mobil Corporation (NYSE:XOM),,0,,0,0,0,0,Exxon
IQTR183330983,2012-03-28,2011-12-31,Merger/Acquisition,Buyer,EL471 and EL472 in the Summit Creek Area of the Northwest Territories,Exxon Mobil Corporation (NYSE:XOM); Imperial Oil Limited (TSX:IMO),,0,,0,0,0,0,Exxon
IQTR207145670,2011-12-31,2011-12-31,Private Placement,Buyer,Mobil Oil New Zealand Limited,Exxon Mobil Corporation (NYSE:XOM),,1,Growth,0,0,350000,350000,Exxon
IQTR238999837,2011-11-16,2013-04-05,Merger/Acquisition,Buyer,Block LB-13 offshore Liberia,Exxon Mobil Corporation (NYSE:XOM),Canadian Overseas Petroleum Bermuda Limited,0,,0,0,85000,0,Exxon
IQTR140719140,2011-09-21,2011-12-31,Merger/Acquisition,Seller,Apache Beryl I Limited,Apache North Sea Limited,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,1750000,0,Exxon
IQTR139424778,2011-08-17,2012-03-30,Merger/Acquisition,Seller,Exxonmobil Borneo Sdn. Bhd. and ExxonMobil Malaysia Sdn Bhd,Petron Oil & Gas International Sdn Bhd,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,403980,0,Exxon
IQTR139641748,2011-08-17,2011-08-17,Merger/Acquisition,Seller,"Exxon Mobil Corporation, 80 Retail Sites in Houston","Landmark Industries, Inc.",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR139642477,2011-08-17,2011-08-17,Merger/Acquisition,Seller,"Exxon Mobil Corporation, 59 Retail Sites in Texas",,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR139401905,2011-08-16,2012-01-20,Merger/Acquisition,Seller,"Exxon Mobil Corp., Retail Interests in 51 North Texas Sites","7-Eleven, Inc.",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR139404855,2011-08-16,2011-10-21,Merger/Acquisition,Seller,"Exxon Mobil Corporation, 33 Stores in Louisiana",Circle K Stores Inc.,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR137693084,2011-07-19,2011-07-19,Merger/Acquisition,Seller,"Exxon Mobil Corp., Petroleum Marine Terminal in Bangor","Buckeye Partners, L.P.; Irving Oil Terminals Inc.",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,23500,0,Exxon
IQTR134733203,2011-06-23,,Buyback,Seller,Imperial Oil Limited (TSX:IMO),,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR134237055,2011-06-13,2013-06-30,Merger/Acquisition,Seller,"Exxon Mobil Corporation, 322 Sites and Additional 65 Reseller Contracts in Southern California",Circle K Stores Inc.,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR138677484,2011-06-07,2011-06-06,Merger/Acquisition,Seller,"Exxon Mobil Corporation, Canton Crossing Retail Site","BCP Investors, LLC",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,6400,0,Exxon
IQTR129189679,2011-03-29,2012-03-01,Merger/Acquisition,Seller,"ExxonMobil, Central America fuel units",Puma Energy International B.V.,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR129212968,2011-03-29,,Merger/Acquisition,Seller,"Exxon Mobil Corporation, Fuels Marketing And Supply Businesses",Puma Energy Beheer BV,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR127878253,2011-03-01,2012-09-27,Merger/Acquisition,Seller,Esso Petrolera Argentina and Oil Refining and Fuel Commercialisation Assets in Paraguay and Uruguay,Pan American Energy LLC (nka:Pan American Energy Group),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR133449665,2011-02-25,2010-12-31,Merger/Acquisition,Buyer,Horn River shale gas play,Exxon Mobil Corporation (NYSE:XOM); Imperial Oil Limited (TSX:IMO),,0,,0,0,0,0,Exxon
IQTR132405305,2011-01-13,2011-01-13,Merger/Acquisition,Seller,"Exxon Mobil Corporation, 65 gasoline station and convenience stores","Chestnut Petroleum Distributors, Inc.",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR116842715,2010-12-08,2011-04-26,Merger/Acquisition,Seller,"Exxon Mobil Corporation, 169 Mobil Properties in Florida","7-Eleven, Inc.",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR116070472,2010-11-22,2010-12-17,Merger/Acquisition,Seller,Gulf of Mexico Shelf Properties,"Energy XXI GOM, LLC",Exxon Mobil Corporation (NYSE:XOM); ExxonMobil Pipeline Company; Mobil Eugene Island Pipeline Company; Mobil Oil Exploration & Producing Southeast Inc.,0,,0,0,1012000,0,Exxon
IQTR113738340,2010-09-22,2010-11-10,Merger/Acquisition,Seller,"Exxon Mobil Corp., 40 Memphis Gas Stations","Excell Petroleum, LLC",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR112324871,2010-08-25,2010-08-25,Merger/Acquisition,Seller,"Exxon Mobil Corp., 58 Convenience Stores and Fuel Stations in Northern Virginia and Maryland","Mid-Atlantic Convenience Stores, LLC",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR109860111,2010-07-23,2010-07-25,Merger/Acquisition,Seller,"Exxon Mobil Corp., 26 Retail Stations in Nashville and One Land Bank","Convenience Management Group, LLC",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR109641377,2010-07-20,2010-08-31,Merger/Acquisition,Buyer,Ellora Energy Inc.,Exxon Mobil Corporation (NYSE:XOM),"Yorktown Partners LLC Seller Funds: Yorktown Energy Partners V, L.P.; Yorktown Energy Partners VI, L.P.",0,,0,0,823750,0,Exxon
IQTR108536928,2010-06-24,2010-06-24,Merger/Acquisition,Seller,"Exxon Mobil Corporation, 170 Convenience Stores","Mid-Atlantic Convenience Stores, LLC",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR106589310,2010-05-25,,Buyback,Seller,Imperial Oil Limited (TSX:IMO),,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR100600372,2010-03-26,2010-03-09,Merger/Acquisition,Buyer,Block 2 in Tanzania,Exxon Mobil Corporation (NYSE:XOM),Statoil ASA (nka:Equinor ASA (OB:EQNR)),0,,0,0,0,0,Exxon
IQTR98642615,2010-02-15,2010-02-15,Merger/Acquisition,Seller,"Exxon Mobil Corp., 28 ExxonMobil Locations in Northern Virginia",,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR83049415,2009-12-14,2010-06-25,Merger/Acquisition,Buyer,XTO Energy Inc.,Exxon Mobil Corporation (NYSE:XOM),,0,,0,0,40763530,0,Exxon
IQTR81835994,2009-11-16,2009-11-16,Merger/Acquisition,Seller,"Exxon Mobil Corp., 172 Exxon Retail Gasoline Stations","Southside Oil, LLC",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR79160962,2009-11-03,2011-07-19,Merger/Acquisition,Seller,"Exxon Mobil Corp., Petroleum Terminals in Portland, Maine","Buckeye Pipe Line Holdings, L.P.; Highlands Fuel Delivery, LLC",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR69098094,2009-09-25,2009-09-25,Merger/Acquisition,Seller,"White Oak Petroleum LLC, 36 Exxon Branded Gasoline Station and Convenience Store Properties",White Oak Petroleum LLC,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR59567238,2009-06-03,,Buyback,Seller,Imperial Oil Limited (TSX:IMO),,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,4059,0,Exxon
IQTR58330874,2009-04-28,2009-05-28,Merger/Acquisition,Seller,"ExxonMobil Corp., On the Run Convenience Store Franchise System",Alimentation Couche-Tard Inc. (TSX:ATD.B),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR49381716,2008-10-03,2008-10-03,Merger/Acquisition,Seller,"Exxon Mobil Corp., Terminal in Northern Carolina","Vopak Terminal Wilmington, Inc.",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR47394784,2008-08-07,2009-04-30,Merger/Acquisition,Seller,Esso Chile Petrolera Ltda And 22% Sonacol And 33% Sociedad de Inversiones de Aviación,Petróleo Brasileiro S.A. - Petrobras (BOVESPA:PETR4),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,400000,0,Exxon
IQTR47347104,2008-08-06,2008-08-06,Merger/Acquisition,Seller,Dixie Pipeline Company LLC,Enterprise Products Operating LLC,BP PLC (LSE:BP.); Exxon Mobil Corporation (NYSE:XOM),0,,0,0,57090,0,Exxon
IQTR46840216,2008-07-17,2008-10-30,Merger/Acquisition,Buyer,Piceance Basin of Colorado,Exxon Mobil Corporation (NYSE:XOM),"The Williams Companies, Inc. (NYSE:WMB)",0,,0,0,71000,0,Exxon
IQTR47731797,2008-06-01,2008-06-01,Merger/Acquisition,Seller,"Exxon Mobil Corp., Certain Oil and Gas Properties","Aghorn Energy, Inc.",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR257351120,2008-05-06,2007-09-24,Merger/Acquisition,Seller,ExxonMobil Chemical Thailand Ltd.,Esso (Thailand) Public Company Limited (SET:ESSO),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR44267235,2008-04-28,2008-11-18,Merger/Acquisition,Seller,"Exxon Mobil Corp., Six Refined Product Terminal Facilities and Related Assets",Sunoco Partners Marketing & Terminals L.P.,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,25000,0,Exxon
IQTR44006059,2008-04-23,2008-12-01,Merger/Acquisition,Seller,Cosan Lubrificantes e Especialidades S.A.,Cosan S.A. (BOVESPA:CSAN3),Exxon Mobil Corporation (NYSE:XOM),0,,0,0,890000,0,Exxon
IQTR43833285,2008-04-18,2008-04-30,Merger/Acquisition,Seller,Esso Portuguesa S.A. and Esso Espanola S.L.,"Galp Energia, SGPS, S.A. (ENXTLS:GALP)",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR43206528,2008-04-07,2008-05-28,Merger/Acquisition,Seller,Rainbow Pipe Line Company Ltd.,"Plains Marketing Canada, L.P.",Exxon Mobil Corporation (NYSE:XOM); Imperial Oil Limited (TSX:IMO); Royal Dutch Shell plc (ENXTAM:RDSA),0,,0,0,692540,0,Exxon
IQTR116897829,2008-02-28,2008-02-19,Merger/Acquisition,Seller,"Exxon, Niles Refined Petroleum Products Terminal and Ferrysburg Terminal","Buckeye Partners, L.P.",Exxon Mobil Corporation (NYSE:XOM),0,,0,0,13930,0,Exxon
IQTR40538873,2008-02-01,2008-02-01,Merger/Acquisition,Seller,Mobil Oil Maroc Sa and ExxonMobil Tunisie,Libya Oil Holdings Limited,Exxon Mobil Corporation (NYSE:XOM),0,,0,0,0,0,Exxon
IQTR51545616,2008-01-24,2008-10-31,Merger/Acquisition,Seller,Kashagan Oil Field,JSC KazMunaiGas Exploration Production,"ConocoPhillips (NYSE:COP); Eni S.p.A. (BIT:ENI); Exxon Mobil Corporation (NYSE:XOM); Inpex Holdings, Inc. (nka:Inpex Corporation (TSE:1605)); Shell Oil Company; TOTAL S.A. (ENXTPA:FP)",0,,0,0,1780000,0,Exxon
IQTR39351726,2007-12-05,2007-12-05,Private Placement,Buyer,"Alchemy Creative, Inc.",Exxon Mobil Corporation (NYSE:XOM),,1,PIPE,0,0,0,0,Exxon
