"Id","Name","Country","City","No of employees","Total Assets (m USD)","Op. Rev. (m USD)","Shareholders funds (m USD)","P/L before tax (m USD)"
"ROC*110175547867","DANISCO SEED ROMANIA SRL","RO",,"n.a.","n.a.","n.a.","n.a.","n.a."
"ESC*110175547870","DANISCO SEMILLAS SA","ES",,"n.a.","n.a.","n.a.","n.a.","n.a."
"SGC199600005Z","DANISCO SINGAPORE PTE. LTD.","SG","SINGAPORE","n.a.","62","157","31","2"
"SEC*110175547858","DANISCO SUGAR AB","SE",,"n.a.","n.a.","n.a.","n.a.","n.a."
"ISC*84917","DANISCO SUGAR HF","IS",,"n.a.","n.a.","n.a.","n.a.","n.a."
"FIC*110175547860","DANISCO SUGAR OY","FI",,"n.a.","n.a.","n.a.","n.a.","n.a."
"LTC*110175547861","DANISCO SUGAR UAB","LT",,"n.a.","n.a.","n.a.","n.a.","n.a."
"FRC340010719","DANISCO SWEETENERS","FR","PARIS","5","18","20","18","1"
"CNC*110019311491","DANISCO SWEETENERS (ANYANG) CO., LTD","CN","ANYANG","n.a.","n.a.","n.a.","n.a.","n.a."
"ATC*313101595","DANISCO SWEETENERS GMBH","AT",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC131720122L","DANISCO USA INC","US","NEW CENTURY","n.a.","n.a.","n.a.","n.a.","n.a."
"NLC35007278","DANISCO ZAANDAM B.V.","NL","ZAANDAM","27","7","n.a.","6","n.a."
"UAC33548609","DANISKO UKRAENA TOV","UA","KIEV","15","9","15","8","2"
"MUC0000021403","DAS AGRICULTURAL INVESTMENT HOLDING COMPANY LTD.","MU","ST DENIS STREET PORT LOUIS","n.a.","n.a.","n.a.","n.a.","n.a."
"INC0016432368","DDP SPECIALITY PRODUCTS INDIA PRIVATE LIMITED","IN","MUMBAI CITY","n.a.","n.a.","n.a.","n.a.","n.a."
"USC310244636L","DDP SPECIALTY ELECTRONIC MATERIALS US 9 LLC","US","MIDLAND","n.a.","n.a.","n.a.","n.a.","n.a."
"USC*110293674166","DDP SPECIALTY ELECTRONIC MATERIALS US, INC.","US","DELAWARE","n.a.","n.a.","n.a.","n.a.","n.a."
"DEC6290332930","DDP SPECIALTY PRODUCTS GERMANY GMBH & CO.KG","DE","BOMLITZ","5","n.a.","n.a.","n.a.","n.a."
"HUC26386267","DDP SPECIALTY PRODUCTS HUNGARY KORLÁTOLT FELELOSSÉGU TÁRSASÁG","HU","BUDAPEST","n.a.","0","0","0","0"
"PLC380063581","DDP SPECIALTY PRODUCTS POLAND SP. Z O.O.","PL","WARSZAWA","5","1","0","0","0"
"PTC514888130","DDP SPECIALTY PRODUCTS PORTUGAL, LDA","PT","ECO PARQUE EMPRESARIAL DE ESTARREJA","n.a.","n.a.","n.a.","n.a.","n.a."
"ZAC201648611207","DDP SPECIALTY PRODUCTS SOUTH AFRICA (PTY) LTD","ZA",,"n.a.","n.a.","n.a.","n.a.","n.a."
"SEC5591329577","DDP SPECIALTY PRODUCTS SWEDEN AB","SE","MALMÖ","2","n.a.","2","n.a.","n.a."
"TRC*110235328428","DDP SPECIALTY PRODUCTS TURKEY KIMYA URETIM TICART LIMITED SIRKETI","TR",,"n.a.","n.a.","n.a.","n.a.","n.a."
"GBC*110293674169","DORINTAL REINSURANCE LIMITED","GB",,"n.a.","n.a.","n.a.","n.a.","n.a."
"TRC271803F","DOW AGRO SCIENCES ANONIM SIRKETI","TR","ATASEHIR","16","n.a.","n.a.","n.a.","n.a."
"MYC182079-V","DOW AGROSCIENCES (MALAYSIA) SDN BHD","MY","SELANGOR DARUL EHSAN","n.a.","30","28","1","-1"
"MUC0000021417","DOW AGROSCIENCES AGRICULTURAL PRODUCTS LIMITED","MU","ST DENIS STREET PORT LOUIS","n.a.","n.a.","n.a.","n.a.","n.a."
"CAC*110293674178","DOW AGROSCIENCES CANADA INC.","CA",,"n.a.","n.a.","n.a.","n.a.","n.a."
"MXCDAM980101SR0","DOW AGROSCIENCES DE MEXICO SA DE CV","MX","TETLA DE LA SOLIDARIDAD","400","n.a.","n.a.","n.a.","n.a."
"HUC*110293674184","DOW AGROSCIENCES HUNGARY KFT.","HU",,"n.a.","n.a.","n.a.","n.a.","n.a."
"IDC19984P","DOW AGROSCIENCES INDONESIA, PT","ID","JAKARTA PUSAT","n.a.","n.a.","n.a.","n.a.","n.a."
"ITC05012740964","DOW AGROSCIENCES ITALIA S.R.L.","IT","MILANO","148","100","161","70","1"
"JPC2010701005443","DOW AGROSCIENCES JAPAN LTD.","JP","CHIYODA-KU","100","n.a.","120","n.a.","n.a."
"USC*110293674190","DOW AGROSCIENCES LLC","US","DELAWARE","n.a.","n.a.","n.a.","n.a.","n.a."
"HKC0000197602","DOW AGROSCIENCES PACIFIC LIMITED","HK","WANCHAI","270","n.a.","n.a.","n.a.","n.a."
"PLC012446465","DOW AGROSCIENCES POLSKA SP. Z O.O.","PL","WARSZAWA","23","23","59","12","5"
"SGC201222951E","DOW AGROSCIENCES SINGAPORE PTE. LTD.","SG","SINGAPORE","n.a.","125","13","124","7"
"ZAC196700714707","DOW AGROSCIENCES SOUTHERN AFRICA (PTY) LTD","ZA","MIDRAND","200","n.a.","n.a.","n.a.","n.a."
"NLC24104547","DOW BENELUX B.V.","NL","HOEK","1,756","1,743","2,750","516","99"
"BRC53877627000191","DOW BRASIL SUDESTE INDUSTRIAL LTDA.","BR","SAO PAULO","1,001","n.a.","258","n.a.","n.a."
"RUC53771176","DOW CHEMICAL","RU","MOSCOW","19","23","58","15","7"
"CNC*110293674201","DOW CHEMICAL (CHINA) INVESTMENT COMPANY LIMITED","CN",,"n.a.","n.a.","n.a.","n.a.","n.a."
"INC0000398183","DOW CHEMICAL INTERNATIONAL PRIVATE LIMITED","IN","MUMBAI","n.a.","188","315","31","20"
"HKC0000137137","DOW CHEMICAL PACIFIC LIMITED","HK","WANCHAI","50","n.a.","n.a.","n.a.","n.a."
"HKC0000699977","DOW CORNING CHINA LIMITED","HK","WANCHAI","116","n.a.","n.a.","n.a.","n.a."
"DEC2150879246","DOW DEUTSCHLAND GMBH & CO.OHG","DE","STADE","2,574","573","394","29","34"
"USC*110293674225","DOW FINANCIAL SERVICES INC.","US","DELAWARE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC299403947L","DOW GLOBAL TECHNOLOGIES LLC","US","MIDLAND","n.a.","n.a.","n.a.","n.a.","n.a."
"USC*110293674228","DOW HYDROCARBONS AND RESOURCES LLC","US","DELAWARE","n.a.","n.a.","n.a.","n.a.","n.a."
"ITC13351750156","DOW ITALIA DIVISIONE COMMERCIALE S.R.L.","IT","MILANO","94","249","813","77","11"
"ITC00856820154","DOW ITALIA S.R.L.","IT","MILANO","313","440","878","243","48"
"SAC*110293674256","DOW SPECIALTIES LIMITED","SA",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC9429039387097","DOWDUPONT INC","US","DELAWARE","n.a.","n.a.","n.a.","n.a.","n.a."
"FRC821916400","DSP","FR","ST DENIS","369","157","70","53","1"
"DEC8171120386","DSP GERMANY GMBH","DE","NEU-ISENBURG","35","15","25","0","1"
"DEC6210445242","DSP GERMANY N&B REAL ESTATE GMBH & CO. KG","DE","NEU-ISENBURG","4","n.a.","n.a.","n.a.","n.a."
"DEC6210444504","DSP GERMANY T&AP REAL ESTATE GMBH & CO. KG","DE","NEU-ISENBURG","4","n.a.","n.a.","n.a.","n.a."
"NLC*110154128040","DSP SAS","NL",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC277784468L","DU PONT","US","NEW CASTLE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC292222691L","DU PONT","US","NEW CASTLE","n.a.","n.a.","n.a.","n.a.","n.a."
"THC0105522019033","DU PONT (THAILAND) CO LTD","TH","PATUMWAN, BANGKOK","n.a.","95","145","71","21"
"ARC30-50112696-5","DU PONT ARGENTINA SRL","AR","BERAZATEGUI","750","n.a.","1","n.a.","n.a."
"USC149103880L","DU PONT AUTOMOTIVE COATINGS INC","US","TROY","n.a.","n.a.","n.a.","n.a.","n.a."
"USC145043960L","DU PONT AUTOMOTIVE CORP","US","TROY","n.a.","n.a.","n.a.","n.a.","n.a."
"CAC261056330L","DU PONT CANADA","CA","MONTREAL","n.a.","n.a.","n.a.","n.a.","n.a."
"USCT03UF0807F","DU PONT CHEMICAL AND ENERGY OPERATIONS, INC","US","DELAWARE","n.a.","n.a.","n.a.","n.a.","n.a."
"USCEBI420847","DU PONT CHINA LIMITED","US","DELAWARE","n.a.","n.a.","n.a.","n.a.","n.a."
"SGC200207203C","DU PONT COMPANY (SINGAPORE) PTE. LTD.","SG","SINGAPORE","n.a.","939","278","838","4"
"USC142593868L","DU PONT DE NEMOURS EI & CO","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC*190521530118","DU PONT FEEDSTOCKS COMPANY","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"CNC2-40847","DUPONT (CHINA) RESEARCH & DEVELOPMENT AND MANAGEMENT CO LTD","CN",,"n.a.","n.a.","n.a.","n.a.","n.a."
"CNC9361162320","DUPONT (SHANGHAI) INDUSTRIAL CO., LTD.","CN","SHANGHAI","n.a.","23","40","n.a.","n.a."
"USC149143652L","DUPONT AUTO COATINGS","US","GEORGETOWN","n.a.","n.a.","n.a.","n.a.","n.a."
"USC258972764L","DUPONT CANADA CO","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"CAC20100NC","DUPONT CANADA INC","CA","MISSISSAUGA","n.a.","1,572","1,563","1,148","230"
"USC263243516L","DUPONT CAPITAL MANAGEMENT CORP","US","QUINCY","1","n.a.","0","n.a.","n.a."
"USC283596710L","DUPONT CENTER LLC","US","SAINT AUGUSTINE","n.a.","n.a.","n.a.","n.a.","n.a."
"BEC2-40862","DUPONT COORDINATION CENTER NV","BE",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC314323613L","DUPONT DANISCO CELLULOSIC ETHANOL LLC","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"NLC*110231754639","DUPONT DE NEMOURS (NEDERLAND) HOLDING B.V.","NL",,"n.a.","n.a.","n.a.","n.a.","n.a."
"FRCEBI420877","DUPONT DE NEMOURS GROUPE S.A.R.L.","FR",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC310413590L","DUPONT DE NEMOURS INC","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC311834819L","DUPONT DE NEMOURS INC","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC150259831L","DUPONT DE NEMOURS INC","US","FAYETTEVILLE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC292524353L","DUPONT DE NEMOURS INC","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"DKC33382154","DUPONT DENMARK HOLDING APS","DK","KØBENHAVN K","n.a.","2,024","n.a.","1,992","5"
"USC*110181797393","DUPONT ELECTRONIC POLYMERS LP","US","DELAWARE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-40872","DUPONT ENERGY COMPANY LLC","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC201009696L","DUPONT FAYETTEVILL SHOP STOCK","US","FAYETTEVILLE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC193562100L","DUPONT FILAMENTS AMERICAS LLC","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC266007767L","DUPONT FINANCE SERVICE CENTER","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC*110293674311","DUPONT GLOBAL OPERATIONS, LLC","US","DELAWARE","n.a.","n.a.","n.a.","n.a.","n.a."
"CAC173797296L","DUPONT HOLDINGS LTD","CA","SWIFT CURRENT","n.a.","n.a.","n.a.","n.a.","n.a."
"USC304130576L","DUPONT INDUSTRIAL BIOSCIENCES USA LLC","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC324033302L","DUPONT INDUSTRIAL BIOSCIENCES USA LLC","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC304538426L","DUPONT INSTITUTE WV-SPECIALTY PROD","US","MIDLAND","n.a.","n.a.","n.a.","n.a.","n.a."
"USC283113821L","DUPONT INTERNATIONAL INC","US","MIAMI","n.a.","n.a.","n.a.","n.a.","n.a."
"CAC132672486L","DUPONT LIQUL BOX CANADA","CA","WHITBY","n.a.","n.a.","n.a.","n.a.","n.a."
"CAC132746907L","DUPONT MANUFACTURING & EMS","CA","BRAMPTON","n.a.","n.a.","n.a.","n.a.","n.a."
"MXCDPM000525554","DUPONT MÉXICO SA DE CV","MX","MIGUEL HIDALGO","3,000","n.a.","n.a.","n.a.","n.a."
"USC175947810L","DUPONT MOTORSPORT INC","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC314544803L","DUPONT NUTRITION","US","NEWARK","n.a.","n.a.","n.a.","n.a.","n.a."
"USC263014574L","DUPONT NUTRITION & HEALTH","US","NEW CENTURY","n.a.","n.a.","n.a.","n.a.","n.a."
"USC264378596L","DUPONT NUTRITION & HEALTH","US","THOMSON","n.a.","n.a.","n.a.","n.a.","n.a."
"MXC*110008282918","DUPONT NUTRITION AND BIOS. COM., S. DE R.L. DE C.V","MX",,"n.a.","n.a.","n.a.","n.a.","n.a."
"MXC*110008282919","DUPONT NUTRITION AND BIOS. MEX., S. DE R.L. DE C.V","MX",,"n.a.","n.a.","n.a.","n.a.","n.a."
"ESCB28036358","DUPONT NUTRITION AND BIOSCIENCES IBERICA SL","ES","SILLA","114","110","129","43","-8"
"DKC11350356","DUPONT NUTRITION BIOSCIENCES APS","DK","KØBENHAVN K","1,047","1,534","664","622","137"
"CNC9380393906","DUPONT NUTRITION FOOD INGREDIENT(BEIJING)CO.,LTD","CN","BEIJING","n.a.","26","26","4","8"
"IEC152876","DUPONT NUTRITION MANUFACTURING IRELAND LIMITED","IE","DUBLIN 2","n.a.","n.a.","0","n.a.","n.a."
"USC291469244L","DUPONT NUTRITION USA INC","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC*110181797395","DUPONT NUTRITION USA, INC.","US","DELAWARE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-40885","DUPONT OPERATIONS WORLDWIDE INC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USCEBI420883","DUPONT OPERATIONS, INC.","US","WILMINGTON (US)","n.a.","n.a.","n.a.","n.a.","n.a."
"USC131231964L","DUPONT PACKAGING GRAPHICS","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC264232337L","DUPONT PERFORMANCE COATINGS","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC131289929L","DUPONT PERFORMANCE COATINGS LLC","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC161040603L","DUPONT PERFORMANCE ELASTOMERS LLC","US","HAMMOND","n.a.","n.a.","n.a.","n.a.","n.a."
"USC131495403L","DUPONT PERFORMANCE ELASTOMERS LLC","US","LA PLACE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC128450576L","DUPONT PERFORMANCE ELASTOMERS LLC","US","HUDSON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC137875224L","DUPONT SABANCI INTERNATIONAL LLC","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC149191305L","DUPONT SAFETY & PROTECTION","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"NLC71183590","DUPONT SERVICES COMPANY B.V.","NL","HOEK","n.a.","n.a.","n.a.","n.a.","n.a."
"CHCCHE203295979","DUPONT SPECIALTY PRODUCTS OPERATIONS SÀRL","CH","LE GRAND-SACONNEX","4","n.a.","n.a.","n.a.","n.a."
"USC319977971L","DUPONT SPECIALTY PRODUCTS USA","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC312121877L","DUPONT SPECIALTY PRODUCTS USA LLC","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC304324550L","DUPONT SPECIALTY PRODUCTS USA LLC","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC149952614L","DUPONT STINE HASKELL RESE","US","NEWARK","n.a.","n.a.","n.a.","n.a.","n.a."
"USC314305508L","DUPONT TATE & LYLE BIO PRODUCTS CO LLC","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"TRC276342F","DUPONT TURKEY ENDÜSTRI ÜRÜNLERI LIMITED SIRKETI","TR","ATASEHIR","12","n.a.","n.a.","n.a.","n.a."
"USC316012073L","DUPONT-SABANCI INTERNATIONAL LLC","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USCZEF233774","DYADIC INTERNATIONAL INC.'S ENZYME AND TECHNOLOGY ASSETS INCLUDING THE C1 PLATFORM","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC276994877L","E I DU PONT DE NEMOURS & CO","US","LIGHTHOUSE POINT","n.a.","n.a.","n.a.","n.a.","n.a."
"USC180530892L","E I DU PONT DE NEMOURS & CO","US","CIRCLEVILLE","n.a.","n.a.","n.a.","n.a.","n.a."
"NLC68821573","E&C EMEA HOLDING 2 B.V.","NL","LEIDEN","n.a.","15","n.a.","15","n.a."
"NLC69555958","E&C EMEA HOLDING 3 B.V.","NL","LEIDEN","n.a.","0","n.a.","0","n.a."
"INC0013063671","E.I. DUPONT SERVICES CENTRE INDIA PRIVATE LIMITED","IN","TELANGANA","n.a.","16","32","6","1"
"CAC128832981L","EI DU PONT CANADA","CA","MAITLAND","n.a.","n.a.","n.a.","n.a.","n.a."
