"Id","Name","Country","City","No of employees","Total Assets (m USD)","Op. Rev. (m USD)","Shareholders funds (m USD)","P/L before tax (m USD)"
"LUCLB144415","BROADSTREET INTERNATIONAL PARTNERS SARL","LU","LUXEMBOURG","n.a.","6,339","n.a.","181","n.a."
"LUCLB156471","BROADSTREET MEXICO SARL","LU","LUXEMBOURG","n.a.","4,710","n.a.","4,710","n.a."
"LUCLB90780","BROADSTREET OF MUENSBACH SARL","LU","LUXEMBOURG","n.a.","4,311","n.a.","667","n.a."
"LUCLB150060","BROADSTREET SARL","LU","LUXEMBOURG","n.a.","0","n.a.","0","n.a."
"GBCLP008486","BROADSTREET SOUTH BANK LIMITED PARTNERSHIP","GB","LEEDS","n.a.","n.a.","n.a.","n.a.","n.a."
"ZAC199000639507","BROWNS AND WEIRS CASH AND CARRY (PTY) LTD","ZA","SANDTON","1,500","1,870","6,224","470","n.a."
"LSC2001407R","BROWNS CASH AND CARRY (PTY) LTD","LS","MASERU","n.a.","n.a.","0","n.a.","n.a."
"BWC0000038818","BUILDERS TRADE DEPOT (BOTSWANA) PTY LTD","BW","BOTSWANA","n.a.","n.a.","n.a.","n.a.","n.a."
"ZAC200602386107","BUILDERS TRADE DEPOT (PTY) LTD","ZA","SANDTON","n.a.","n.a.","n.a.","n.a.","n.a."
"ZAC198300879407","BUILDERS WAREHOUSE (PTY) LTD","ZA",,"n.a.","n.a.","n.a.","n.a.","n.a."
"ZMC0000922375","BUILDERS WAREHOUSE INTERNATIONAL (ZAMBIA) LIMITED","ZM",,"n.a.","n.a.","n.a.","n.a.","n.a."
"NGC2-225202","BUILDERS WAREHOUSE INTERNATIONAL MASSBUILD (NIGERIA) LTD","NG",,"n.a.","n.a.","n.a.","n.a.","n.a."
"GBC*110190757409","BUILDRITE - EAST LONDON","GB",,"n.a.","n.a.","n.a.","n.a.","n.a."
"YYC*110190757403","BUILDRITE - KING WILLIAM'S TOWN","n.a.",,"n.a.","n.a.","n.a.","n.a.","n.a."
"YYC*110190757398","BUILDRITE - QUEENSTOWN","n.a.",,"n.a.","n.a.","n.a.","n.a.","n.a."
"ZAC201200174807","BUSINESS VENTURE INVESTMENTS NO 1628 (PTY) LTD","ZA","SANDTON","n.a.","n.a.","0","n.a.","n.a."
"ZAC198806011707","C C W WHOLESALERS (TRANSKEI) (PTY) LTD","ZA","SANDTON","n.a.","n.a.","0","n.a.","n.a."
"YYC*110190757428","CAMBRIDGE FOOD","n.a.",,"n.a.","n.a.","n.a.","n.a.","n.a."
"ZAC200801166607","CAMBRIDGE FOOD (PTY) LTD","ZA",,"130","2,534","n.a.","n.a.","n.a."
"ZAC199300735507","CAMBRIDGE FOOD FREE STATE (PTY) LTD","ZA","SANDTON","420","n.a.","77","n.a.","n.a."
"ZAC200901280307","CAMBRIDGE FOOD GAUTENG (PTY) LTD","ZA","SANDTON","n.a.","n.a.","n.a.","n.a.","n.a."
"ZAC200002534707","CAMBRIDGE FOOD KZN (PTY) LTD","ZA","SANDTON","900","n.a.","39","n.a.","n.a."
"YYC*110190757413","CAMBRIDGE PROPERTIES","n.a.",,"n.a.","n.a.","n.a.","n.a.","n.a."
"ZAC200000707007","CAPENSIS INVESTMENTS 241 (PTY) LTD","ZA","SANDTON","n.a.","n.a.","n.a.","n.a.","n.a."
"CWCEBI281007","CARHCO N.V.","CW","CURAÇAO","n.a.","n.a.","n.a.","n.a.","n.a."
"ZAC*110190757419","CCW HOLDINGS (PTY) LTD","ZA",,"n.a.","n.a.","n.a.","n.a.","n.a."
"ZAC199000215607","CCW MARKETING (PTY) LTD","ZA","SUNNINGHILL","n.a.","n.a.","n.a.","n.a.","n.a."
"NAC2-225206","CCW NAMIBIA PROPERTIES (PTY) LTD","NA",,"n.a.","n.a.","n.a.","n.a.","n.a."
"ZAC199400133607","CCW PROPERTY HOLDINGS (PTY) LTD","ZA","SANDTON","n.a.","n.a.","n.a.","n.a.","n.a."
"ZAC200501093207","CELL-SHACK (PTY) LTD","ZA","SANDTON","n.a.","n.a.","n.a.","n.a.","n.a."
"CNC9365071164","CHENGDU HAOYOUDUO DEPARTMENT STORE COMMERCIAL SQUARE CO., LTD.","CN","CHENGDOU","n.a.","45","128","n.a.","n.a."
"GBC06310474","CHORLEY RENAISSANCE LIMITED","GB","LEEDS","4","0","n.a.","0","0"
"ZAC200901823707","CLIDET NO 1003 (PTY) LTD","ZA","SANDTON","300","n.a.","n.a.","n.a.","n.a."
"ZAC200302230407","CLIDET NO 484 (PTY) LTD","ZA","SANDTON","n.a.","n.a.","n.a.","n.a.","n.a."
"CLC787354904","COMERCIAL APOQUINDO LTDA","CL","LAS CONDES, SANTIAGO","n.a.","n.a.","0","n.a.","n.a."
"PEC20491856344","COMERCIAL DYS PERU SA","PE","SAN BORJA","2","n.a.","n.a.","n.a.","n.a."
"CLC591698303","COMERCIAL WALMART CHILE LLC","CL","QUILICURA, SANTIAGO","n.a.","n.a.","n.a.","n.a.","n.a."
"MXCCMA9109119L0","COMERCIALIZADORA MEXICO AMERICANA S DE RL DE CV","MX","AZCAPOTZALCO","3,000","n.a.","n.a.","n.a.","n.a."
"GBC02582550","CORINTH INVESTMENTS LIMITED","GB","LEEDS","5","3","n.a.","3","0"
"CRC3101085278","CORPORACION DE COMPANIAS AGROINDUSTRIALES CCA SOCIEDAD ANONIMA","CR",,"n.a.","n.a.","n.a.","n.a.","n.a."
"CRC3101007223","CORPORACION DE SUPERMERCADOS UNIDOS SOCIEDAD ANONIMA","CR",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC185975238L","COZYBOOTSCOM","US","SCOTTS VALLEY","n.a.","n.a.","n.a.","n.a.","n.a."
"BWC2-20325","CROGE INVESTMENTS (PTY) LTD","BW","MAUN","n.a.","n.a.","n.a.","n.a.","n.a."
"CNC9375484092","DALIAN HAOYOUDUO BAIHUO COMMERCIAL SQUARE CO., LTD.","CN","DALIAN","n.a.","n.a.","n.a.","n.a.","n.a."
"CNC9363802055","DALIAN WAL-MART DEPARTMENT STORE CO., LTD.","CN","DALIAN","n.a.","122","235","n.a.","n.a."
"ZAC194501975307","DARRYL INVESTMENTS (PTY) LTD","ZA","SANDTON","n.a.","n.a.","n.a.","n.a.","n.a."
"ZAC200300991507","DD'S CASH AND CARRY (PTY) LTD","ZA","SANDTON","220","n.a.","n.a.","n.a.","n.a."
"ZAC199400026607","DE LA REY 1001 BUILDING MATERIALS (PTY) LTD","ZA","BOKSBURG","1,000","n.a.","n.a.","n.a.","n.a."
"MXCDIP910404PD3","DESARROLLO INMOBILIARIO PLAZA ORIENTE SRL","MX","AZCAPOTZALCO DISTRITO FEDERAL","3","n.a.","n.a.","n.a.","n.a."
"YYC*110190757423","DF SCOTT","n.a.",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC132346880L","DISTRIBUTION CENTER","US","LINDON","n.a.","n.a.","n.a.","n.a.","n.a."
"CNC9361472090","DONGGUAN WAL-MART STORES CO., LTD.","CN","DONGGUAN","277","38","110","14","n.a."
"INC0013017579","DSYN TECHNOLOGIES PRIVATE LIMITED","IN","GURGAON","n.a.","n.a.","n.a.","n.a.","n.a."
"MXC*110140439249","EL GANSO ABARROTERO S DE RL DE CV","MX","AZCAPOTZALCO","n.a.","n.a.","n.a.","n.a.","n.a."
"ZAC196600538507","EMBABE (PTY) LTD","ZA","PIETERMARITZBURG","38","n.a.","n.a.","n.a.","n.a."
"YYC*110190757426","EMSENGENI","n.a.",,"n.a.","n.a.","n.a.","n.a.","n.a."
"GBC02689278","ERTECO U.K. LIMITED","GB","LEEDS","n.a.","6","n.a.","6","n.a."
"GBC03636566","ESSENCEREALM LIMITED","GB","LEEDS","n.a.","0","n.a.","0","n.a."
"PEC20268362046","ESTILOS Y DISENOS SAC","PE","MIRAFLORES","n.a.","n.a.","n.a.","n.a.","n.a."
"BWC2-10321","EUREKA GABORONE (PTY) LTD","BW","GABORONE","n.a.","n.a.","n.a.","n.a.","n.a."
"BWC2-10322","EUREKA MAHALAPYE (PTY) LTD","BW","MAHALAPYE","n.a.","n.a.","n.a.","n.a.","n.a."
"BWC2-10323","EUREKA SELIBE-PHIKE (PTY) LTD","BW",,"n.a.","n.a.","n.a.","n.a.","n.a."
"GBC03922821","EVER 1295 LIMITED","GB","LEEDS","n.a.","0","n.a.","0","n.a."
"GBC02519748","EVER 2010 LIMITED","GB","LEEDS","6","599","3","534","31"
"GBC02519745","EVER 2010 NORTH LIMITED","GB","LEEDS","n.a.","13","n.a.","13","n.a."
"GBC03106480","EVER 2010 SOUTH LIMITED","GB","LEEDS","n.a.","37","n.a.","37","n.a."
"ZAC197100929307","EXCLUSIVE ESTATE WINES (PTY) LTD","ZA","SUNNINGHILL EXTENSION SIX","n.a.","n.a.","n.a.","n.a.","n.a."
"USC146409039L","EXCLUSIVELY","US","SMITHTOWN","n.a.","n.a.","n.a.","n.a.","n.a."
"USC242218907L","EXCLUSIVELY-IN INC","US","NEW YORK","2","n.a.","0","n.a.","n.a."
"INC0009247758","F1 INFO SOLUTIONS & SERVICES PRIVATE LIMITED","IN","MUMBAI CITY","n.a.","9","16","-4","-3"
"YYC*110190757421","FINRO","n.a.",,"n.a.","n.a.","n.a.","n.a.","n.a."
"ZAC199800587207","FINRO ENTERPRISES (PTY) LTD","ZA","PORT ELIZABETH","200","n.a.","n.a.","n.a.","n.a."
"USC*932021221","FITIQUETTE INC.","US","SAN FRANCISCO","n.a.","n.a.","n.a.","n.a.","n.a."
"SGC201434984N","FK MYNTRA HOLDINGS PRIVATE LIMITED","SG","SINGAPORE","n.a.","855","0","853","0"
"INC0002886954","FLIPKART INDIA PRIVATE LIMITED","IN","BANGALORE","n.a.","1,519","3,300","977","-317"
"INC0007883965","FLIPKART INTERNET PRIVATE LIMITED","IN","BANGALORE","n.a.","590","470","269","-178"
"INC0002886949","FLIPKART LOGISTICS PRIVATE LIMITED","IN","BANGALORE","n.a.","17","0","17","0"
"SGC201222640W","FLIPKART MARKETPLACE PRIVATE LIMITED","SG","SINGAPORE","n.a.","1,316","0","1,316","0"
"SGC201129903N","FLIPKART PRIVATE LIMITED","SG","SINGAPORE","n.a.","4,653","6,305","2,882","-2,498"
