"Transaction ID","Announced Date","Closed Date","Transaction Type","Role","Target","Buyer/Investors","Sellers","Rounds","Round Type","Pre-Money Valuation ($mm)","Post-Money Valuation ($mm)","Size ($mm)","Aggregate Amount Raised ($mm)†"
"IQTR98921153",Mar-02-2010,Jun-17-2010,"Merger/Acquisition","Seller","Trinseo S.A. (NYSE:TSE)","Bain Capital Private Equity, LP","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  1,630.0 ","-"
"IQTR62707012",Sep-10-2009,May-14-2010,"Merger/Acquisition","Seller","The Dow Chemical Company, Hollow Sphere Plastic Pigment Product Line","OMNOVA Solutions Inc. (NYSE:OMN)","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  2.5 ","-"
"IQTR61684374",Jul-31-2009,Jan-25-2010,"Merger/Acquisition","Seller","The Dow Chemical Company, Certain Acrylates and Latex Assets in North America","Arkema S.A. (ENXTPA:AKE)","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  50.0 ","-"
"IQTR54147510",Jun-02-2009,May-28-2009,"Merger/Acquisition","Seller","Midland Cogeneration Venture Limited Partnership","EQT Partners AB; Fortistar, LLC Buyer Funds: EQT Infrastructure, L.P.","DuPont de Nemours, Inc. (NYSE:DD); GSO Capital Partners LP; MCV Power Holdings, LP; Rockland Capital, LP","-","-","-","-","-","-"
"IQTR59186379",May-20-2009,Jun-30-2009,"Merger/Acquisition","Seller","Dow Chemical Co., Calcium Chloride Business","Occidental Petroleum Corporation (NYSE:OXY)","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  210.0 ","-"
"IQTR53893533",Mar-09-2009,Apr-01-2009,"Private Placement","Target","DuPont de Nemours, Inc. (NYSE:DD)","Paulson & Co. Inc.; Paulson Enhanced Ltd.; Paulson International Ltd. Buyer Funds: dbX-Risk Arbitrage 1 Fund; Paulson Advantage Master Ltd.; Paulson Advantage Plus Master Ltd.; Paulson Advantage Select Master Fund Ltd.; Paulson Partners Enhanced, L.P.; Paulson Partners L.P.",,2,"PIPE","-","-","  3,000.0 ","  7,000.0 "
"IQTR52683546",Jan-29-2009,Jan-29-2009,"Merger/Acquisition","Seller","Dow Chemical Co., Cartagena and Joliet Marine Terminals","Oiltanking GmbH","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","-","-"
"IQTR52415095",Jan-22-2009,Jan-22-2009,"Merger/Acquisition","Seller","Centive, Inc.","Xactly Corporation","BancBoston Ventures, Inc.; DuPont de Nemours, Inc. (NYSE:DD); Eastward Capital Partners, LLC.; Infinity Capital, L.L.C.; Key Venture Partners; KPMG LLP; NMP Management Corporation; Polaris Partners; Synygy, Inc. (nka:SPM Global Services, Inc.); VSP Capital Seller Funds: Noro-Moseley Partners IV, LP","-","-","-","-","-","-"
"IQTR51950615",Jan-05-2009,Dec-31-2008,"Merger/Acquisition","Seller","Dow Chemical Co., Thermoplastic Polyurethane Business","The Lubrizol Corporation","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  59.9 ","-"
"IQTR46649820",Jul-11-2008,Jul-11-2008,"Merger/Acquisition","Seller","Dow Chemical Co., Trymer Polyisocyanurate Rigid Foam Business","ITW Insulation Systems, Inc.","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","-","-"
