"Id","Name","Country","City","No of employees","Total Assets (m USD)","Op. Rev. (m USD)","Shareholders funds (m USD)","P/L before tax (m USD)"
"BSC29951C","ESSO EXPLORATION AND PRODUCTION ANGOLA (OVERSEAS) LIMITED","BS",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-89528","ESSO EXPLORATION AND PRODUCTION CHAD INC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"BSC82484B","ESSO EXPLORATION AND PRODUCTION GUYANA LIMITED","BS",,"n.a.","n.a.","n.a.","n.a.","n.a."
"NGC*110136623574","ESSO EXPLORATION AND PRODUCTION NIGERIA (DEEPWATER) LIMITED","NG",,"n.a.","n.a.","n.a.","n.a.","n.a."
"NGC2-89493","ESSO EXPLORATION AND PRODUCTION NIGERIA (OFFSHORE EAST) LTD","NG",,"n.a.","n.a.","n.a.","n.a.","n.a."
"NGC353743R","ESSO EXPLORATION AND PRODUCTION NIGERIA LIMITED","NG","V/ISLAND","n.a.","n.a.","n.a.","n.a.","n.a."
"GBC00207426","ESSO EXPLORATION AND PRODUCTION UK LIMITED","GB","LEATHERHEAD","n.a.","5,360","1,645","1,287","814"
"BSC4461B","ESSO EXPLORATION ANGOLA (BLOCK 15) LIMITED","BS",,"n.a.","n.a.","n.a.","n.a.","n.a."
"BSC8969B","ESSO EXPLORATION ANGOLA (BLOCK 17) LIMITED","BS",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC149841282L","ESSO EXPLORATION ANGOLA LTD","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USCEBI423364","ESSO EXPLORATION HOLDINGS INC.","US","UNITED STATES","n.a.","n.a.","n.a.","n.a.","n.a."
"YYC095335319","ESSO EXXON SOLE SHAREHOLDER CO. LTD","n.a.",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC4-0687920","ESSO FAR EAST SHIPS","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"FRC4-0641531","ESSO FRANCAISE","FR","CEDEX 2, RUEIL-MALMAISON","n.a.","n.a.","n.a.","n.a.","n.a."
"FRC399360817","ESSO FRANCE","FR","COURBEVOIE","n.a.","0","0","0","0"
"BSC57394B","ESSO GLOBAL INVESTMENTS LTD","BS",,"n.a.","n.a.","n.a.","n.a.","n.a."
"FRC792536278","ESSO GUYANE FRANCAISE EXPLORATION ET PRODUCTION","FR","COURBEVOIE","n.a.","0","0","-1","-2"
"PGC2-89499","ESSO HIGHLANDS LTD","PG",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USCFFH0068675","ESSO HOLDING CO UK INC","US","WILMINGTON DE","n.a.","n.a.","n.a.","n.a.","n.a."
"BSC83656B","ESSO HOLDING COMPANY SINGAPORE LIMITED","BS",,"n.a.","n.a.","n.a.","n.a.","n.a."
"ITC00473410587","ESSO ITALIANA S.R.L.","IT","ROMA","1,090","5,195","16,253","3,951","-140"
"LUCLB7310","ESSO LUXEMBOURG SARL","LU","BERTRANGE","n.a.","47","454","15","223"
"NLC27004771","ESSO NEDERLAND B.V.","NL","BREDA","989","3,940","13,425","712","-358"
"BSC126333B","ESSO NIGERIA (OFFSHORE) LIMITED","BS",,"n.a.","n.a.","n.a.","n.a.","n.a."
"NOC914803802","ESSO NORGE AS","NO","SANDNES","419","939","3,574","118","-37"
"CAC259705742L","ESSO PETROLEUM CANADA","CA","QUESNEL","7","n.a.","35","n.a.","n.a."
"HKC0016198705","ESSO PETROLEUM CHINA LIMITED","HK","WANCHAI","3,180","n.a.","n.a.","n.a.","n.a."
"GBC00026538","ESSO PETROLEUM COMPANY,LIMITED","GB","LEATHERHEAD","1,266","4,143","9,944","2,001","-143"
"BSC49602B","ESSO PIPELINE INVESTMENTS LIMITED","BS",,"n.a.","n.a.","n.a.","n.a.","n.a."
"GBC00157038","ESSO PROPERTY MANAGEMENT COMPANY, LIMITED","GB","LEATHERHEAD","n.a.","16","2","13","2"
"FRC379914237","ESSO RAFFINAGE","FR","COURBEVOIE","63","985","892","675","38"
"FRC542010053","ESSO SA","FR","COURBEVOIE","1,829","4,122","17,036","1,196","-180"
"FRC385920251","ESSO SOCIETE ANONYME FRANCAISE","FR","AUBENAS","n.a.","n.a.","n.a.","n.a.","n.a."
"USC272072117L","ESSO STANDARD OIL","US","GUAYNABO","n.a.","n.a.","n.a.","n.a.","n.a."
"USC134463101L","ESSO STANDARD OIL CO","US","SAN JUAN","n.a.","n.a.","n.a.","n.a.","n.a."
"USC149143826L","ESSO STANDARD OIL COMPANY PUERTO RICO","US","GUAYNABO","n.a.","n.a.","n.a.","n.a.","n.a."
"LRC4-0204210","ESSO TANKERS","LR","MONROVIA","n.a.","n.a.","n.a.","n.a.","n.a."
"DEC4-0204223","ESSO TANKSCHIFF","DE","HAMBURG","n.a.","n.a.","n.a.","n.a.","n.a."
"NLC4-0136931","ESSO TANKVAART ANTILLEN","NL",,"n.a.","n.a.","n.a.","n.a.","n.a."
"CAC149143881L","ESSO TOWER","CA","ANJOU","n.a.","n.a.","n.a.","n.a.","n.a."
"PAC4-0344325","ESSO TRANSPORT","PA","PANAMA CITY","n.a.","n.a.","n.a.","n.a.","n.a."
"GBC01589650","ESSO UK LIMITED","GB","LEATHERHEAD","n.a.","2,587","n.a.","2,585","372"
"DEC2150625507","ESSO VERTRIEBSGESELLSCHAFT MBH","DE","HAMBURG","24","2","n.a.","1","n.a."
"USC149143825L","ESSO VIRGIN ISLAND INC","US","ST THOMAS","n.a.","n.a.","n.a.","n.a.","n.a."
"USC129648691L","EXON MOBILE CORP","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC120205279L","EXXON","US","JEMISON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC129048350L","EXXON - MIDKIFF","US","MIDLAND","n.a.","n.a.","n.a.","n.a.","n.a."
"BSC30116B","EXXON AZERBAIJAN LIMITED","BS",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC147801626L","EXXON BULK PLANT","US","ROSENBERG","n.a.","n.a.","n.a.","n.a.","n.a."
"USC163809369L","EXXON CHEMICAL AMERICA","US","BAYTOWN","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-89530","EXXON CHEMICAL ARABIA INC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"CAC132723816L","EXXON CHEMICAL CANADA","CA","CALGARY","n.a.","n.a.","n.a.","n.a.","n.a."
"USC150074771L","EXXON CHEMICAL CONF CENTER","US","SPRING","n.a.","n.a.","n.a.","n.a.","n.a."
"USC126966253L","EXXON CHEMICAL INTERAMERICA INC","US","EDISON","n.a.","n.a.","n.a.","n.a.","n.a."
"ITC*110013351732","EXXON CHEMICAL MEDITERRANEA SRL","IT",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC129560411L","EXXON CHEMICAL TRADING INC","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC147596921L","EXXON CO INC","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC147702217L","EXXON CO US A RECEPTIONIST","US","KATY","n.a.","n.a.","n.a.","n.a.","n.a."
"USC120205281L","EXXON CO USA 42","US","BENTONVILLE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC147187750L","EXXON CO USA BULK PLANT","US","LAKE CITY","n.a.","n.a.","n.a.","n.a.","n.a."
"USC146017903L","EXXON CO USA BULK PLANT","US","BROOKLYN","n.a.","n.a.","n.a.","n.a.","n.a."
"USC145322511L","EXXON CO USA CRAMER DON","US","LEWISTOWN","n.a.","n.a.","n.a.","n.a.","n.a."
"USC129790187L","EXXON CO USA HAWKINS GAS PLANT","US","HAWKINS","n.a.","n.a.","n.a.","n.a.","n.a."
"USC147764517L","EXXON CO USA SERVICE STATION","US","ORANGE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC142336481L","EXXON CO USA SILVERSPURS EXXON","US","KISSIMMEE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC145096736L","EXXON CO USA TERMINAL","US","BOZEMAN","n.a.","n.a.","n.a.","n.a.","n.a."
"USC145758738L","EXXON COB GAS SERVICE","US","JERSEY CITY","n.a.","n.a.","n.a.","n.a.","n.a."
"USC142905224L","EXXON COBB PARKWAY","US","MARIETTA","n.a.","n.a.","n.a.","n.a.","n.a."
"USC134300168L","EXXON COMP USA","US","BILLINGS","n.a.","n.a.","n.a.","n.a.","n.a."
"USC127888773L","EXXON COMPANY INTERNATIONAL","US","FLORHAM PARK","n.a.","n.a.","n.a.","n.a.","n.a."
"USC126746380L","EXXON CONSTRUCTION TRAILER","US","EAST RUTHERFORD","n.a.","n.a.","n.a.","n.a.","n.a."
"USC145370499L","EXXON CONVENIENCE STORE","US","NATCHEZ","n.a.","n.a.","n.a.","n.a.","n.a."
"USC148104170L","EXXON CONVENIENCE STORE","US","FISHERSVILLE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC148260070L","EXXON CONVENIENCE STORE","US","RICHMOND","n.a.","n.a.","n.a.","n.a.","n.a."
"USC270582749L","EXXON CONVENIENCE STORES","US","NATCHEZ","n.a.","n.a.","n.a.","n.a.","n.a."
"USC145363871L","EXXON CONVENIENCE STORES MORGANTOWN","US","NATCHEZ","n.a.","n.a.","n.a.","n.a.","n.a."
"USC141014853L","EXXON CONVENIENT STORE","US","HARRISBURG","n.a.","n.a.","n.a.","n.a.","n.a."
"USC220259600L","EXXON CORP BR PLASTICS","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC193161798L","EXXON CORP CASS INFORMATION SYSTEMS","US","COLUMBUS","n.a.","n.a.","n.a.","n.a.","n.a."
"USC147972764L","EXXON CORS","US","DALLAS","n.a.","n.a.","n.a.","n.a.","n.a."
"USC129299428L","EXXON GAS PLANT","US","KINGSVILLE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC127864157L","EXXON INC","US","NEW HYDE PARK","n.a.","n.a.","n.a.","n.a.","n.a."
"USC*110136884029","EXXON INTERNATIONAL FINANCE COMPANY","US","DELAWARE","n.a.","n.a.","n.a.","n.a.","n.a."
"LUCLB72735","EXXON INTERNATIONAL SERVICES SARL","LU","BERTRANGE","n.a.","54,934","1","53,674","488"
"USCEBI425176","EXXON INVESTMENTS INC.","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-89531","EXXON LUXEMBOURG HOLDINGS LLC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC131819908L","EXXON MOBIL","US","RACELAND","n.a.","n.a.","n.a.","n.a.","n.a."
"USC129758171L","EXXON MOBIL","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC129758217L","EXXON MOBIL","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC129648617L","EXXON MOBIL","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC166256187L","EXXON MOBIL ATWOOD","US","ANAHEIM","n.a.","n.a.","n.a.","n.a.","n.a."
"USC242866295L","EXXON MOBIL BAYTOWN REFIN","US","BAYTOWN","n.a.","n.a.","n.a.","n.a.","n.a."
