"Transaction ID","Announced Date","Closed Date","Transaction Type","Role","Target","Buyer/Investors","Sellers","Rounds","Round Type","Pre-Money Valuation ($mm)","Post-Money Valuation ($mm)","Size ($mm)","Aggregate Amount Raised ($mm)†"
"IQTR11751422",May-02-2002,Nov-13-2002,"Merger/Acquisition","Seller","Anglo American Sur S.A.","Anglo American plc (LSE:AAL)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  1,300.0 ","-"
"IQTR26841057",Feb-01-2002,May-01-2002,"Merger/Acquisition","Seller","Carbones del Cerrejon Limited","Anglo Coal Limited; BHP Billiton Group (nka:BHP Group (ASX:BHP)); Glencore International AG (nka:Glencore plc (LSE:GLEN))","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR1445028",Dec-27-2001,Dec-27-2001,"Merger/Acquisition","Seller","Exxon Mobil, Oregon Terminal","NuStar Terminals Operations Partnership L.P.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR6686382",Dec-26-2000,Dec-26-2000,"Merger/Acquisition","Seller","ExxonMobil Corporation, Ship Shoal Block 72 Field","PetroQuest Energy, Inc.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  7.1 ","-"
"IQTR23351127",Aug-14-2000,"-","Buyback","Target","Exxon Mobil Corporation (NYSE:XOM)",,,"-","-","-","-","-","-"
"IQTR10360083",Jun-01-2000,Jun-30-2000,"Merger/Acquisition","Seller","Sharon Ridge Unit","Kinder Morgan CO2 Company, L.P.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR12171665",May-12-2000,Dec-31-2000,"Merger/Acquisition","Seller","Exxon Mobil Corp., Jet Turbine Oil Lubricants Business","BP Amoco plc (nka:BP PLC (LSE:BP.))","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR10125608",Apr-03-2000,"-","Merger/Acquisition","Seller","Norsk Hydro Energie Marketing B.V.","Duke Energy International, LLC","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  230.0 ","-"
"IQTR10175157",Mar-02-2000,May-15-2000,"Merger/Acquisition","Seller","Exxon Mobil Corporation, Benicia Refinery and Retail Assets","Valero Energy Corporation (NYSE:VLO)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  895.0 ","-"
"IQTR10916114",Dec-02-1999,Feb-29-2000,"Merger/Acquisition","Seller","Exxon Mobil Corporation, 1,740 Northeast and Mid-Atlantic Service Stations","Tosco Corporation","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  860.0 ","-"
"IQTR10317147",Dec-01-1999,Mar-01-2000,"Merger/Acquisition","Seller","Exxon Mobil Corp., East Coast Retail Systems","Tosco Corporation","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  860.0 ","-"
"IQTR11753408",May-17-1999,May-17-1999,"Merger/Acquisition","Seller","Exxon Corporation, Oil and Gas Properties","Future Petroleum Company LLC","Exxon Corporation (nka:Exxon Mobil Corporation (NYSE:XOM))","-","-","-","-","  10.0 ","-"
"IQTR12532573",Jan-25-1999,Mar-01-1999,"Merger/Acquisition","Buyer","30 Deepwater Blocks","Exxon Corporation (nka:Exxon Mobil Corporation (NYSE:XOM))","Conoco Inc.","-","-","-","-","-","-"
"IQTR12532640",Jan-25-1999,Mar-01-1999,"Merger/Acquisition","Seller","29 Deepwater Blocks","Conoco Inc.","Exxon Corporation (nka:Exxon Mobil Corporation (NYSE:XOM))","-","-","-","-","-","-"
"IQTR11501945",Dec-01-1998,Nov-30-1999,"Merger/Acquisition","Buyer","Mobil Corporation","Exxon Corporation (nka:Exxon Mobil Corporation (NYSE:XOM))",,"-","-","-","-","  85,640.07 ","-"
"IQTR13591636",Mar-01-1998,Mar-01-1998,"Merger/Acquisition","Seller","Exxon Corp., Flame Retardant Plastic Compounds Business","M.A. Hanna Company","Exxon Corporation (nka:Exxon Mobil Corporation (NYSE:XOM))","-","-","-","-","-","-"
"IQTR34619340",May-13-1997,"-","Buyback","Target","Exxon Corporation (nka:Exxon Mobil Corporation (NYSE:XOM))",,,"-","-","-","-","  6,348.0 ","-"
"IQTR460893",Jun-14-1989,Jun-14-1989,"Merger/Acquisition","Seller","Zilog, Inc.","E.M. Warburg Pincus & Co. (nka:Warburg Pincus LLC) Buyer Funds: Warburg Pincus Capital Company, L.P.","Exxon Corporation (nka:Exxon Mobil Corporation (NYSE:XOM))","-","-","-","-","  49.0 ","-"
"IQTR6021703",Dec-31-1986,Dec-31-1986,"Merger/Acquisition","Seller","Gilbarco Inc.","BancBoston Capital, Inc.; Citicorp Capital Investors (nka:Court Square Capital Partners, L.P.)","Exxon Corporation (nka:Exxon Mobil Corporation (NYSE:XOM))","-","-","-","-","-","-"
"IQTR6034274",Dec-11-1986,Dec-30-1986,"Merger/Acquisition","Seller","Reliance Electric Co.","Citicorp Capital Investors (nka:Court Square Capital Partners, L.P.); Prudential Bache Securities, Inc. (nka:Prudential Equity Group, LLC)","Exxon Corporation (nka:Exxon Mobil Corporation (NYSE:XOM))","-","-","-","-","  1,350.0 ","-"
