"Transaction ID","Announced Date","Closed Date","Transaction Type","Role","Target","Buyer/Investors","Sellers","Rounds","Round Type","Pre-Money Valuation ($mm)","Post-Money Valuation ($mm)","Size ($mm)","Aggregate Amount Raised ($mm)†"
"IQTR129189679",Mar-29-2011,Mar-01-2012,"Merger/Acquisition","Seller","ExxonMobil, Central America fuel units","Puma Energy International B.V.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR129212968",Mar-29-2011,"-","Merger/Acquisition","Seller","Exxon Mobil Corporation, Fuels Marketing And Supply Businesses","Puma Energy Beheer BV","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR127878253",Mar-01-2011,Sep-27-2012,"Merger/Acquisition","Seller","Esso Petrolera Argentina and Oil Refining and Fuel Commercialisation Assets in Paraguay and Uruguay","Pan American Energy LLC (nka:Pan American Energy Group)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR133449665",Feb-25-2011,Dec-31-2010,"Merger/Acquisition","Buyer","Horn River shale gas play","Exxon Mobil Corporation (NYSE:XOM); Imperial Oil Limited (TSX:IMO)",,"-","-","-","-","-","-"
"IQTR132405305",Jan-13-2011,Jan-13-2011,"Merger/Acquisition","Seller","Exxon Mobil Corporation, 65 gasoline station and convenience stores","Chestnut Petroleum Distributors, Inc.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR116842715",Dec-08-2010,Apr-26-2011,"Merger/Acquisition","Seller","Exxon Mobil Corporation, 169 Mobil Properties in Florida","7-Eleven, Inc.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR116070472",Nov-22-2010,Dec-17-2010,"Merger/Acquisition","Seller","Gulf of Mexico Shelf Properties","Energy XXI GOM, LLC","Exxon Mobil Corporation (NYSE:XOM); ExxonMobil Pipeline Company; Mobil Eugene Island Pipeline Company; Mobil Oil Exploration & Producing Southeast Inc.","-","-","-","-","  1,012.0 ","-"
"IQTR113738340",Sep-22-2010,Nov-10-2010,"Merger/Acquisition","Seller","Exxon Mobil Corp., 40 Memphis Gas Stations","Excell Petroleum, LLC","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR112324871",Aug-25-2010,Aug-25-2010,"Merger/Acquisition","Seller","Exxon Mobil Corp., 58 Convenience Stores and Fuel Stations in Northern Virginia and Maryland","Mid-Atlantic Convenience Stores, LLC","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR109860111",Jul-23-2010,Jul-25-2010,"Merger/Acquisition","Seller","Exxon Mobil Corp., 26 Retail Stations in Nashville and One Land Bank","Convenience Management Group, LLC","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR109641377",Jul-20-2010,Aug-31-2010,"Merger/Acquisition","Buyer","Ellora Energy Inc.","Exxon Mobil Corporation (NYSE:XOM)","Yorktown Partners LLC Seller Funds: Yorktown Energy Partners V, L.P.; Yorktown Energy Partners VI, L.P.","-","-","-","-","  823.75 ","-"
"IQTR108536928",Jun-24-2010,Jun-24-2010,"Merger/Acquisition","Seller","Exxon Mobil Corporation, 170 Convenience Stores","Mid-Atlantic Convenience Stores, LLC","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR106589310",May-25-2010,"-","Buyback","Seller","Imperial Oil Limited (TSX:IMO)",,"Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR100600372",Mar-26-2010,Mar-09-2010,"Merger/Acquisition","Buyer","Block 2 in Tanzania","Exxon Mobil Corporation (NYSE:XOM)","Statoil ASA (nka:Equinor ASA (OB:EQNR))","-","-","-","-","-","-"
"IQTR98642615",Feb-15-2010,Feb-15-2010,"Merger/Acquisition","Seller","Exxon Mobil Corp., 28 ExxonMobil Locations in Northern Virginia",,"Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR83049415",Dec-14-2009,Jun-25-2010,"Merger/Acquisition","Buyer","XTO Energy Inc.","Exxon Mobil Corporation (NYSE:XOM)",,"-","-","-","-","  40,763.53 ","-"
"IQTR81835994",Nov-16-2009,Nov-16-2009,"Merger/Acquisition","Seller","Exxon Mobil Corp., 172 Exxon Retail Gasoline Stations","Southside Oil, LLC","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR79160962",Nov-03-2009,Jul-19-2011,"Merger/Acquisition","Seller","Exxon Mobil Corp., Petroleum Terminals in Portland, Maine","Buckeye Pipe Line Holdings, L.P.; Highlands Fuel Delivery, LLC","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR69098094",Sep-25-2009,Sep-25-2009,"Merger/Acquisition","Seller","White Oak Petroleum LLC, 36 Exxon Branded Gasoline Station and Convenience Store Properties","White Oak Petroleum LLC","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR59567238",Jun-03-2009,"-","Buyback","Seller","Imperial Oil Limited (TSX:IMO)",,"Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  4.06 ","-"
"IQTR58330874",Apr-28-2009,May-28-2009,"Merger/Acquisition","Seller","ExxonMobil Corp., On the Run Convenience Store Franchise System","Alimentation Couche-Tard Inc. (TSX:ATD.B)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR49381716",Oct-03-2008,Oct-03-2008,"Merger/Acquisition","Seller","Exxon Mobil Corp., Terminal in Northern Carolina","Vopak Terminal Wilmington, Inc.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR47394784",Aug-07-2008,Apr-30-2009,"Merger/Acquisition","Seller","Esso Chile Petrolera Ltda And 22% Sonacol And 33% Sociedad de Inversiones de Aviación","Petróleo Brasileiro S.A. - Petrobras (BOVESPA:PETR4)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  400.0 ","-"
"IQTR47347104",Aug-06-2008,Aug-06-2008,"Merger/Acquisition","Seller","Dixie Pipeline Company LLC","Enterprise Products Operating LLC","BP PLC (LSE:BP.); Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  57.09 ","-"
"IQTR46840216",Jul-17-2008,Oct-30-2008,"Merger/Acquisition","Buyer","Piceance Basin of Colorado","Exxon Mobil Corporation (NYSE:XOM)","The Williams Companies, Inc. (NYSE:WMB)","-","-","-","-","  71.0 ","-"
"IQTR47731797",Jun-01-2008,Jun-01-2008,"Merger/Acquisition","Seller","Exxon Mobil Corp., Certain Oil and Gas Properties","Aghorn Energy, Inc.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR257351120",May-06-2008,Sep-24-2007,"Merger/Acquisition","Seller","ExxonMobil Chemical Thailand Ltd.","Esso (Thailand) Public Company Limited (SET:ESSO)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR44267235",Apr-28-2008,Nov-18-2008,"Merger/Acquisition","Seller","Exxon Mobil Corp., Six Refined Product Terminal Facilities and Related Assets","Sunoco Partners Marketing & Terminals L.P.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  25.0 ","-"
"IQTR44006059",Apr-23-2008,Dec-01-2008,"Merger/Acquisition","Seller","Cosan Lubrificantes e Especialidades S.A.","Cosan S.A. (BOVESPA:CSAN3)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  890.0 ","-"
"IQTR43833285",Apr-18-2008,Apr-30-2008,"Merger/Acquisition","Seller","Esso Portuguesa S.A. and Esso Espanola S.L.","Galp Energia, SGPS, S.A. (ENXTLS:GALP)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR43206528",Apr-07-2008,May-28-2008,"Merger/Acquisition","Seller","Rainbow Pipe Line Company Ltd.","Plains Marketing Canada, L.P.","Exxon Mobil Corporation (NYSE:XOM); Imperial Oil Limited (TSX:IMO); Royal Dutch Shell plc (ENXTAM:RDSA)","-","-","-","-","  692.54 ","-"
"IQTR116897829",Feb-28-2008,Feb-19-2008,"Merger/Acquisition","Seller","Exxon, Niles Refined Petroleum Products Terminal and Ferrysburg Terminal","Buckeye Partners, L.P.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  13.93 ","-"
"IQTR40538873",Feb-01-2008,Feb-01-2008,"Merger/Acquisition","Seller","Mobil Oil Maroc Sa and ExxonMobil Tunisie","Libya Oil Holdings Limited","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR51545616",Jan-24-2008,Oct-31-2008,"Merger/Acquisition","Seller","Kashagan Oil Field","JSC KazMunaiGas Exploration Production","ConocoPhillips (NYSE:COP); Eni S.p.A. (BIT:ENI); Exxon Mobil Corporation (NYSE:XOM); Inpex Holdings, Inc. (nka:Inpex Corporation (TSE:1605)); Shell Oil Company; TOTAL S.A. (ENXTPA:FP)","-","-","-","-","  1,780.0 ","-"
"IQTR39351726",Dec-05-2007,Dec-05-2007,"Private Placement","Buyer","Alchemy Creative, Inc.","Exxon Mobil Corporation (NYSE:XOM)",,1,"PIPE","-","-","-","   -  "
"IQTR39333074",Dec-04-2007,Dec-04-2007,"Merger/Acquisition","Seller","Silver Fern Shipping Limited","ASP Ship Management Pty. Ltd.","BP PLC (LSE:BP.); Chevron Corporation (NYSE:CVX); Exxon Mobil Corporation (NYSE:XOM); Royal Dutch Shell plc (ENXTAM:RDSA)","-","-","-","-","-","-"
"IQTR82843397",Nov-13-2007,Jul-31-2007,"Merger/Acquisition","Seller","East Cameron 334/335 Field in the Gulf of Mexico","Energy XXI (Bermuda) Limited (nka:Energy XXI Ltd)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  3.5 ","-"
"IQTR38945552",Nov-12-2007,Nov-12-2007,"Merger/Acquisition","Seller","Saudi Arabian Lubricating Oil Company (nka:Petromin Corporation)","Al Dabbagh Group Holding Company Limited; Gulf Oil International UK Limited","Exxon Mobil Corporation (NYSE:XOM); Saudi Arabian Oil Company (SASE:2222)","-","-","-","-","  200.0 ","-"
"IQTR35051308",Jun-15-2007,Jun-15-2007,"Merger/Acquisition","Seller","Exxon Mobil Corp., Wax Emulsion Plant","H&R Wasag AG (nka:H&R GmbH & Co. KGaA (XTRA:2HRA))","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR116895832",Apr-27-2007,Mar-15-2007,"Merger/Acquisition","Seller","Petroleum Product Terminals in Green Bay, Madison, and Milwaukee","Buckeye Partners, L.P.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  15.16 ","-"
"IQTR34258876",Apr-18-2007,Aug-30-2007,"Merger/Acquisition","Seller","Superior Oil (U.K.) Ltd.","Perenco Gabon SA","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR59693010",Feb-26-2007,Jun-27-2007,"Merger/Acquisition","Seller","Cerro Negro Finance, Ltd.","Petróleos de Venezuela, S.A.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR116890979",Jan-26-2007,Jan-16-2007,"Merger/Acquisition","Seller","Exxon Mobil Corporation, Two Petroleum Product Terminals","Buckeye Partners, L.P.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  22.04 ","-"
"IQTR30637558",Dec-12-2006,"-","Merger/Acquisition","Seller","Oy Esso ab","Suomen Osuuskauppojen Keskuskunta Oy","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR34166501",Oct-10-2006,Apr-16-2007,"Merger/Acquisition","Seller","Mobil Oil Gabon (nka:Tamoil Gabon)","Oilinvest (Netherlands) B.V.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR225550936",Aug-31-2006,Aug-31-2006,"Merger/Acquisition","Seller","Conroe Field","Wapiti Energy, LLC","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR27510146",Jun-02-2006,Jun-02-2006,"Merger/Acquisition","Seller","Exxon Mobil Corp., 80 Gasoline Stations In Peru","Refinería La Pampilla S.A.A. (BVL:RELAPAC1)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  35.0 ","-"
"IQTR27142660",Apr-27-2006,Apr-27-2006,"Merger/Acquisition","Seller","Parque das Conchas","Shell Brasil Ltda. (nka:Raízen Combustíveis S.A.)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
